"Query","Match","HMDB","PubChem","ChEBI","KEGG","METLIN","SMILES","Comment"
"PubChem","","-","-","-","-","-","NA","0"
"52924055","LysoPC(20:3(8Z,11Z,14Z))","HMDB0010394","52924055","86256","C04230","-","CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(=O)OC[C@](O)([H])COP([O-])(=O)OCC[N+](C)(C)C","1"
"743","Glutaric acid","HMDB0000661","743","17859","C00489","3254","OC(=O)CCCC(O)=O","1"
"138","5-Aminopentanoic acid","HMDB0003355","138","15887","C00431","6902","NCCCCC(O)=O","1"
"5459377","PC(14:0/14:0)","HMDB0007866","5459377","45240","C00157","-","[H][C@@](COC(=O)CCCCCCCCCCCCC)(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCC","1"
"52922342","PC(15:0/22:6(4Z,7Z,10Z,13Z,16Z,19Z))","HMDB0007958","52922342","-","C00157","-","CCCCCCCCCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC","1"
"52922204","","-","-","-","-","-","NA","0"
"938","Nicotinic acid","HMDB0001488","938","15940","C00253","6272","OC(=O)C1=CN=CC=C1","1"
"53480695","PC(P-16:0/22:5(4Z,7Z,10Z,13Z,16Z))","HMDB0011227","53480695","89988","-","-","CCCCCCCCCCCCCC\C=C/OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"11197","Tetracosanoic acid","HMDB0002003","11197","28866","C08320","6427","CCCCCCCCCCCCCCCCCCCCCCCC(O)=O","1"
"24778982","PC(18:2(9Z,12Z)/22:5(4Z,7Z,10Z,13Z,16Z))","HMDB0008154","24778982","-","C00157","-","CCCCC\C=C/C\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"6443788","PC(16:0/16:1(9Z))","HMDB0007969","6443788","74000","C00157","-","CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\CCCCCC","1"
"157355","Lactitol","-","157355","-","-","-","","1"
"24778771","PC(16:1(9Z)/20:4(5Z,8Z,11Z,14Z))","HMDB0008015","24778771","84816","C00157","-","CCCCCC\C=C/CCCCCCCC(=O)OC[C@]([H])(COP([O-])(=O)OCC[N+](C)(C)C)OC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/CCCCC","1"
"52922891","PC(18:4(6Z,9Z,12Z,15Z)/16:0)","HMDB0008232","52922891","-","C00157","-","CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"52922847","PC(18:3(9Z,12Z,15Z)/18:3(6Z,9Z,12Z))","HMDB0008205","52922847","-","C00157","-","CCCCC\C=C/C\C=C/C\C=C/CCCCC(=O)O[C@]([H])(COC(=O)CCCCCCC\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"52923341","PC(20:5(5Z,8Z,11Z,14Z,17Z)/16:0)","HMDB0008495","52923341","-","C00157","-","CCCCCCCCCCCCCCCC(=O)O[C@]([H])(COC(=O)CCC\C=C/C\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C","1"
"53479075","PC(20:4(8Z,11Z,14Z,17Z)/18:3(6Z,9Z,12Z))","HMDB0008468","53479075","-","C00157","-","CCCCC\C=C/C\C=C/C\C=C/CCCCC(=O)O[C@]([H])(COC(=O)CCCCCC\C=C/C\C=C/C\C=C/C\C=C/CC)COP([O-])(=O)OCC[N+](C)(C)C","1"
